id,message,from_id,year,month,day,hour,minute,second,reply
409427,حواره للخارج من نابلس ؟,325418964,2023,3,7,13,50,2,سالك سالك
409428,سالك سالك,1827882971,2023,3,7,13,50,9,
409429,حوارة في عليها مستوطنين,5633332941,2023,3,7,13,50,18,لا مافب
409430,وين,1332172310,2023,3,7,13,50,26,
409431,كيف طريق من طوباس لرام الله,5661074759,2023,3,7,13,50,35,
409432,سلام,5593129285,2023,3,7,13,50,37,
409433,لا مافب,1827882971,2023,3,7,13,50,37,
409434,شو وضع المربعه ؟,1507939991,2023,3,7,13,50,39,في حاجز بس سالك
409435,في حاجز بس سالك,1827882971,2023,3,7,13,50,47,
409436,حوارة سالكة؟,5190660308,2023,3,7,13,50,57,سالكة حركة سير طبيعية
409437,في ازمة عحاجز حوارة؟,5403676950,2023,3,7,13,50,58,
409438,شباب كيف الوضع صرة ودير شرف,2122512266,2023,3,7,13,51,8,لهسه مناح
409439,️حاجز حواره سالك حركه سير طبيعيه,1827882971,2023,3,7,13,51,13,
409440,سالك صره,1827882971,2023,3,7,13,51,17,
409441,شو وضع ديرشرف,5388366346,2023,3,7,13,51,22,جاوبتك
409442,سالكة حركة سير طبيعية,1278989564,2023,3,7,13,51,36,
409443,لهسه مناح,1278989564,2023,3,7,13,51,40,
409444,جاوبتك,1827882971,2023,3,7,13,51,43,
409445,وضع دير شرف ؟,1248733370,2023,3,7,13,52,26,اقرا هلا جاوبت
409446,اقرا هلا جاوبت,1827882971,2023,3,7,13,52,48,
409447,شباب شو الوضع فاتحه طريق صرة ودير شرف ؟,5015281840,2023,3,7,13,52,54,اه سالكين
409448,من دير شرف لجنين شو وضع الطريق,5115882250,2023,3,7,13,52,56,سالكه الطريق
409449,اه سالكين,1827882971,2023,3,7,13,53,1,
409450,شباب شو وضع اريحا,5267282649,2023,3,7,13,53,4,
409451,سالكه الطريق,1827882971,2023,3,7,13,53,8,
409452,,5667642888,2023,3,7,13,53,23,
409453,يسلمو,5115882250,2023,3,7,13,53,24,
409455,يا اخوان الي بازمة حواره في سيارة مستوطنين سكودا لون بني المستوطنين طالعين من شبابيكها وبتحركشو بالسيارت انتبهو,2088721086,2023,3,7,13,53,34,كان في مازدا
409458,,5640136471,2023,3,7,13,54,38,الحيش انسحب من المساكن عالاغلب فاتحه
409459,شو وضع حواره شبباب ضروري,1887940597,2023,3,7,13,54,41,حركه سير قويه ماشيه
409460,,5640136471,2023,3,7,13,54,53,
409461,"الحاجز سالك
حركة سير قوية وازمات طبيعية ع الدواوير",1278989564,2023,3,7,13,54,58,
409462,حركه سير قويه ماشيه,1827882971,2023,3,7,13,54,58,
409463,كان في مازدا,5081087766,2023,3,7,13,54,59,
409464,الحيش انسحب من المساكن عالاغلب فاتحه,5433091299,2023,3,7,13,55,4,
409465,ازمة زعترة لعند أول الكوربة اللي قبلها,5418354984,2023,3,7,13,55,8,
409466,,5640136471,2023,3,7,13,55,17,
409467,شرطة على دوار زعترة,1829705126,2023,3,7,13,55,18,ما في اشي ع زعترة
409468,حواره البلد مافيها  وزعتره تمام بس التنتين ازمه,6002398373,2023,3,7,13,55,38,
409469,يتساهر طمنونا في اشي,1043789714,2023,3,7,13,55,52,لا سالك
409470,حاجززز حواره سالك,2039962330,2023,3,7,13,56,2,
409471,شباب حوارة سالكة ؟؟,1473520236,2023,3,7,13,56,2,سااااالكه
409472,؟؟,2039962330,2023,3,7,13,56,3,
409473,شباب شو وض يتسهار ؟؟؟,1898550155,2023,3,7,13,56,9,
409474,لا سالك,1827882971,2023,3,7,13,56,9,
409475,اه سالة,1043789714,2023,3,7,13,56,12,
409476,سالك,1043789714,2023,3,7,13,56,15,
409477,سااااالكه,1827882971,2023,3,7,13,56,18,
409478,شو ضوع صرة,992624358,2023,3,7,13,56,21,
409479,,1043789714,2023,3,7,13,56,28,
409480,حوارة  سالكه,5301962003,2023,3,7,13,56,30,
409481,نعم سال ازمه طبيعيه,1043789714,2023,3,7,13,56,37,
409482,سالك,1043789714,2023,3,7,13,56,40,
409483,,5667642888,2023,3,7,13,56,52,
409484,"مباشر أقتحام نابلس وجنين الأن 

",5680297914,2023,3,7,13,57,9,
409485,شباب شفي شمرون كيف,5637352182,2023,3,7,13,57,11,سالك
409486,مافي شي ع يتسهار وسالكه,6002398373,2023,3,7,13,57,20,
409487,سالك,1758705323,2023,3,7,13,57,33,
409488,طريق اربحا,6050332988,2023,3,7,13,57,49,
409489,للي جاي من الجنوب على الشمال سيارة شرطة قبل دوار زعترة,5294930564,2023,3,7,13,57,49,
409490,كيف,6050332988,2023,3,7,13,57,51,
409491,شباب في جيش في عسكر  او البلد,782724220,2023,3,7,13,58,7,لا
409492,سالك,1428370357,2023,3,7,13,58,12,
409493,شو وضع  صرة,5881220589,2023,3,7,13,58,15,سالكة لهاي اللحظة
409494,لا,1018320076,2023,3,7,13,58,22,
409495,ما في اشي ع زعترة,1897075590,2023,3,7,13,58,24,
409496,سالكة لهاي اللحظة,1278989564,2023,3,7,13,58,28,
409497,دير شرف سالكه ولا لا,5739856818,2023,3,7,13,58,36,
409498,شباب ديروا بالكم في مستوطنين اثنين ملثمين وماسكين زجاجات على دوار يتسهار,5203409551,2023,3,7,13,58,44,
409499,شباب طريق اريحا,6050332988,2023,3,7,13,58,47,"منيحة الطريق 
في ع زعترة سيارة شرطة"
409500,ولا بدكم اموت,6050332988,2023,3,7,13,58,51,
409501,يتسهار سالك,1673057369,2023,3,7,13,58,51,
409502,"منيحة الطريق 
في ع زعترة سيارة شرطة",1278989564,2023,3,7,13,59,9,
409503,,5667642888,2023,3,7,13,59,37,عليها حاجز لاخر تحديث بس بمشي
409504,حاجز حوارة سالك ؟؟,2030502684,2023,3,7,13,59,52,سالك
409505,يتسهار نمر ولا كيف,1375616866,2023,3,7,14,0,7,سالك يتسهار كمان
409506,,1312264512,2023,3,7,14,0,7,ازمة معتادة ترويحة الناس 
409507,,5596674318,2023,3,7,14,0,12,هي الحاجز رايح
409508,عليها حاجز لاخر تحديث بس بمشي,1278989564,2023,3,7,14,0,16,
409509,هي الحاجز رايح,1278989564,2023,3,7,14,0,24,
409510,المربعة فاضية,5596674318,2023,3,7,14,0,25,
409511,سالك,1278989564,2023,3,7,14,0,28,
409512,سالك يتسهار كمان,1278989564,2023,3,7,14,0,35,
409513,صره شو وضعها؟؟,5047737120,2023,3,7,14,0,46,منيحة لهاي اللحظة
409514,منيحة لهاي اللحظة,1278989564,2023,3,7,14,0,53,
409515,حاجز حوارة سالك ونظيف,5912318119,2023,3,7,14,1,8,
409516,دير شرف سالك في الاتجاهين,6171426033,2023,3,7,14,1,10,
409517,ازمة معتادة ترويحة الناس ,1278989564,2023,3,7,14,1,13,
409518,شافي شومرون شو وضع الطريق من جنين ل نابلس؟؟,5518955811,2023,3,7,14,1,13,سالك شافي شمرون حاليا
409519,سالك شافي شمرون حاليا,1278989564,2023,3,7,14,1,23,
409520,,5667642888,2023,3,7,14,1,27,"هي صورولك المربعة سالكة
توكل على الله الوضع منيح"
409521,"هي صورولك المربعة سالكة
توكل على الله الوضع منيح",1278989564,2023,3,7,14,1,57,
409522,شو وضع المربعة؟,5360411796,2023,3,7,14,2,1,
409523,دير شرف,5678642207,2023,3,7,14,2,36,سالكة
409524,هي فيديو للمربعة فوق سااالكة,1018320076,2023,3,7,14,2,38,
409525,,5667642888,2023,3,7,14,3,3,بوابة تل ليتسهار مغلقة اصل
409527,حوميش سكروا هس,1065516019,2023,3,7,14,3,9,بمرقو والا مغلق؟؟
409528,هي وصلتنا هناك,1065516019,2023,3,7,14,3,23,
409529,بوابة تل ليتسهار مغلقة اصل,1278989564,2023,3,7,14,3,24,
409531,سالكة,1278989564,2023,3,7,14,3,40,
409532,سالكة بس انتبه من الشرطة,1018320076,2023,3,7,14,4,15,
409533,حوارة شو الوضع شباب,5303701495,2023,3,7,14,4,31,
409534,المربعه سالكه ما في حاجز,1507939991,2023,3,7,14,4,32,
409536,من زعترة لحاجز حوارة الوضع سالك,1897618975,2023,3,7,14,4,34,
409537,عناب سالك ؟,5454843421,2023,3,7,14,5,9,من ٤ دقائق مرقت سالك
409538,مخصوم على حومش,5435459553,2023,3,7,14,5,25,
409539,من ٤ دقائق مرقت سالك,1720547330,2023,3,7,14,5,33,
409540,حوارة شباب الوضع,5303701495,2023,3,7,14,5,45,سالكة أزمة طبيعية
409541,جنات عليها اشي ؟,282742656,2023,3,7,14,5,53,
409542,في شي ب نابلس؟,5843971066,2023,3,7,14,6,4,لا
409543,لا,1018320076,2023,3,7,14,6,12,
409544,كيف حاجز قلنديا,5419599183,2023,3,7,14,6,18,
409545,صره؟,1345477114,2023,3,7,14,6,27,
409546,اه في اقتحام,5823300154,2023,3,7,14,6,28,
409547,كيف شباب,1345477114,2023,3,7,14,6,34,لهسه منيحة
409548,منيح ازمة معتادة ماشية,1278989564,2023,3,7,14,6,34,
409549,سالكة أزمة طبيعية,1018320076,2023,3,7,14,6,35,
409550,اكدولنا ١٠٠,1897075590,2023,3,7,14,6,38,عليه حاجز اه
409551,عليه حاجز اه,1278989564,2023,3,7,14,6,45,
409552,لهسه منيحة,1278989564,2023,3,7,14,6,50,
409553,صره كيف شباب,1345477114,2023,3,7,14,6,55,
409554,كيف الطريق من رام الله لاريحا؟,1347957151,2023,3,7,14,6,57,
409555,صره فاتحخ؟؟,5166878575,2023,3,7,14,6,58,
409556,صره قبل ٥ دقايق كان فاتح,5272604525,2023,3,7,14,7,16,
409557,بمرقو والا مغلق؟؟,5060470279,2023,3,7,14,7,17,
409558,صرة سالك,1018320076,2023,3,7,14,7,35,
409559,دوار يتسهار ؟؟,5586108889,2023,3,7,14,7,48,سالك
409560,,1312264512,2023,3,7,14,7,54,
409561,شو وضع مدخل بيت فوريك ؟,1932745707,2023,3,7,14,8,28,
409562,طريق عصيره ١٧ سالك ؟,1823500133,2023,3,7,14,8,32,
409563,كهربائي سيارات في سلفيت للضرورة,5909173831,2023,3,7,14,8,35,ابو محمود في المنطقة الصناعية
409564,شو وضع دوار يتسهار يا اخوان ؟؟,5586108889,2023,3,7,14,8,49,
409565,من رام الله لبيت لحم كيف طريق,5410423044,2023,3,7,14,8,52,شو
409566,شباب,1834867710,2023,3,7,14,8,57,
409567,بمرقوا بس تفتيش سيارة سيارة,1065516019,2023,3,7,14,8,58,
409568,كيف الوضع على زعترة,1834867710,2023,3,7,14,9,1,
409569,ابو محمود في المنطقة الصناعية,5427792603,2023,3,7,14,9,7,وين هاي
409570,حاجز بيت فوري كيف الوضع سالك,5763376801,2023,3,7,14,9,15,
409571,"مساء الخير 
متحرك من رام الله الى نابلس نوافيكم بكل جديد",1688669181,2023,3,7,14,9,18,
409572,كل  ٥ ١٠ دقايق سيارة,1065516019,2023,3,7,14,9,20,
409573,زعترة ازمة حاليا,1403309066,2023,3,7,14,9,20,
409574,شو,5410423044,2023,3,7,14,9,21,
409575,كيف طريق,5410423044,2023,3,7,14,9,41,
409576,من رام الله لبيت لحم,5410423044,2023,3,7,14,9,48,
409577,وين هاي,5909173831,2023,3,7,14,9,49,عند جامعة القدس المفتوحة القديمة
409578,"مباشر أقتحام نابلس وجنين الأن 

",5680297914,2023,3,7,14,9,53,
409579,ت,5962926420,2023,3,7,14,9,56,
409580,يسعد مساكم شباب كيف وضع الطريق للقصرا,2137610889,2023,3,7,14,9,58,
409581,سالك,1278989564,2023,3,7,14,9,59,
409582,شو وضع دير شرف,5775659613,2023,3,7,14,10,3,اخر تحديث سالك
409583,حواره او المربعة كيف الطريق,1853436745,2023,3,7,14,10,9,المربعة سالكة بالاتجاهين وحوارة سالك
409584,هينا عند المجدل,1834867710,2023,3,7,14,10,14,
409585,عند جامعة القدس المفتوحة القديمة,5427792603,2023,3,7,14,10,14,
409586,اخر تحديث سالك,1018320076,2023,3,7,14,10,19,
409587,المربعة سالكة مافي ولا شي ولا في حاجز هلا مرقنا,1422336271,2023,3,7,14,10,22,شكرا
409588,الطريق سالكة لعند المغير,1834867710,2023,3,7,14,10,25,
409589,سالكات الحواجز الجهتين حاليا,1278989564,2023,3,7,14,10,49,
409590,المربعة سالكة بالاتجاهين وحوارة سالك,1018320076,2023,3,7,14,10,51,شكرا
409591,شكرا,1853436745,2023,3,7,14,10,52,
409592,حومش حاليا,5866827647,2023,3,7,14,10,54,طويله قصتك
409593,شكرا,1853436745,2023,3,7,14,10,58,
409594,حواره شو وضعها,5430086586,2023,3,7,14,11,18,
409595,,5435459553,2023,3,7,14,11,22,
409596,تقتيش  على حومش,5435459553,2023,3,7,14,11,38,
409598,,1834867710,2023,3,7,14,11,50,
409599,الي رايح على اريحا الطريق سالكة,1834867710,2023,3,7,14,12,7,
409600,حواره,5430086586,2023,3,7,14,12,17,
409601,طويله قصتك,5435459553,2023,3,7,14,12,23,
409602,شو وضع زعترة؟,1464548640,2023,3,7,14,12,30,سالك مع تواجد شرطة
409603,حاليا شافي شمرون دير شرف سالك ومافي ازمه,6002398373,2023,3,7,14,12,31,
409604,يخوان شو وضع حواره؟؟؟؟؟,833575361,2023,3,7,14,12,47,"الحاااجز سالك
البلد ازمة معتادة وماشية"
409605,سالك مع تواجد شرطة,1018320076,2023,3,7,14,12,50,
409607,اكيد حواره سالكه ؟,833575361,2023,3,7,14,13,2,
409608,"الحاااجز سالك
البلد ازمة معتادة وماشية",1278989564,2023,3,7,14,13,44,
409609,يتسهار سالك ما في شي,926921802,2023,3,7,14,13,49,
409610,اه سالكة حوارة,5746014385,2023,3,7,14,14,0,
409611,من الرام على نابلس في اي اشي على الطريق,5620303958,2023,3,7,14,14,3,
409612,زعترة ازمة سير كببرة للداخل,1403309066,2023,3,7,14,14,20,
409613,,5866827647,2023,3,7,14,14,34,
409614,حومش تفتيش للسيارات,5866827647,2023,3,7,14,14,37,
409615,وازمه قويه,5866827647,2023,3,7,14,14,44,
409616,دوار يتسهار ما في مستوطنين ولا شي,926921802,2023,3,7,14,16,14,لا ما في
409617,حوارة سالكه,5301962003,2023,3,7,14,16,19,
409618,فش اشي,5301962003,2023,3,7,14,16,28,
409619,وحوارة سالك و يتسهار سالك,926921802,2023,3,7,14,16,29,
409620,لا ما في,1278989564,2023,3,7,14,16,36,"مانا بحكي ما بسال 
هلا مرقت ما في شي"
409621,مرحبا   كيف حوارة,5149913380,2023,3,7,14,16,47,سالكة
409622,سالكة,1018320076,2023,3,7,14,17,3,
409623,"مانا بحكي ما بسال 
هلا مرقت ما في شي",926921802,2023,3,7,14,17,9,
409624,كيف صرة,712841338,2023,3,7,14,17,16,
409625,للي طالع,712841338,2023,3,7,14,17,17,
409626,شو وضع يستهار ي شباب,5379325525,2023,3,7,14,17,32,سالك
409627,سالك,1897075590,2023,3,7,14,17,48,
409628,دوار المناره وين؟,5410423044,2023,3,7,14,17,49,برام الله
409629,"انا ع حومش
للي نازل ع جنين تفتيش دقيق جدا وأزمة",5775385684,2023,3,7,14,17,58,
409630,برام الله,1130698698,2023,3,7,14,18,9,
409631,طريق اتسهار,2055140574,2023,3,7,14,18,20,سالكة
409632,اديش بدهم وقت من دوار المناره لبيت لحم؟,5410423044,2023,3,7,14,18,26,ساعة ونص
409633,كيف,2055140574,2023,3,7,14,18,29,
409634,بدها ساعه ونص,1130698698,2023,3,7,14,18,47,
409635,ساعة ونص,1834867710,2023,3,7,14,18,57,
409636,الجيش الاسرائيلي الان يعلن إستخدام سلاح الجو في مخيم جنين,731816327,2023,3,7,14,19,3,
409637,سالكه طريق؟,5410423044,2023,3,7,14,19,4,
409638,سالكة,1897075590,2023,3,7,14,19,9,
409639,كيف وضع صرا,5254469653,2023,3,7,14,19,14,سالكة
409640,صرة,5254469653,2023,3,7,14,19,15,
409641,قلنديا شو وضعها,1022895406,2023,3,7,14,19,22,
409642,سالكه طريق؟,5410423044,2023,3,7,14,19,31,
409643,شو وضع طريق رام الله نابلس,6012633064,2023,3,7,14,19,40,
409644,شو وضع طريق دير شرف,5373755065,2023,3,7,14,19,48,سالك لهسه
409645,سالكة,1278989564,2023,3,7,14,19,51,
409646,,1312264512,2023,3,7,14,19,53,اه بدها وقت كثير
409647,سالك لهسه,1278989564,2023,3,7,14,19,56,
409648,حومش ازمه خانقه السير شبه معطل,6002398373,2023,3,7,14,20,4,وينتا هاد الحكي
409649,️ حاجز الحمرا سالك,946490964,2023,3,7,14,20,8,
409650,في حاجز,6002398373,2023,3,7,14,20,13,
409651,وينتا هاد الحكي,5774880347,2023,3,7,14,20,35,هسه
409652,شو وع حوارة وزعترة,1380530935,2023,3,7,14,20,37,
409653,يا شباب,1380530935,2023,3,7,14,20,43,
409654,,1312264512,2023,3,7,14,20,54,
409655,حواره شو وضعها؟,833575361,2023,3,7,14,21,0,
409656,شو وضع الطريق للقصرا,2137610889,2023,3,7,14,21,3,
409657,,6002398373,2023,3,7,14,21,13,
409658,هلا,6002398373,2023,3,7,14,21,18,
409659,هسه,1523055741,2023,3,7,14,21,20,سبحان الله هس من عشر دقايق مرقت
409660,صحيح,6002398373,2023,3,7,14,21,40,
409661,سبحان الله هس من عشر دقايق مرقت,5774880347,2023,3,7,14,21,44,
409662,شو وضع الطريق من اريحا لجنين الحمره,1677806551,2023,3,7,14,21,54,
409663,جب جيشوقف على ١٧,1823500133,2023,3,7,14,21,59,
409664,سالكة,5507527703,2023,3,7,14,21,59,
409665,حرارة  مارة,5763246712,2023,3,7,14,22,7,
409666,انزول بيتا ازمة حتى حاجز زعترة,1403309066,2023,3,7,14,22,12,
409667,حوارة سالك تماما داخل وخارج,5781715883,2023,3,7,14,22,21,
409668,اذا الطريق سالكة بكون اقل بشوي,1834867710,2023,3,7,14,22,36,
409669,,1312264512,2023,3,7,14,23,2,
409671,اه بدها وقت كثير,1834867710,2023,3,7,14,23,16,
409672,يسلمو,1677806551,2023,3,7,14,23,34,
409673,قبلان افضل بكثير,1403309066,2023,3,7,14,24,5,
409674,,1312264512,2023,3,7,14,24,28,اه روحت
409675,يتسهار سالك ما في اشي,1165544987,2023,3,7,14,24,30,
409676,الخارج من اريحا كيف الوضع,5502884633,2023,3,7,14,24,36,
409677,شو وضع صرة,5143491297,2023,3,7,14,24,52,
409678,اه روحت,946490964,2023,3,7,14,24,53,
409679,من اريحا لحد جوريس سالكة ولا قي اشي,1834867710,2023,3,7,14,25,4,
409680,خط يتسهار سالك تماما,1278989564,2023,3,7,14,25,7,
409682,حومش سلكت  فقط للي طالع من السيله,6002398373,2023,3,7,14,25,48,
409683,زعترة ولا قبلان ؟,564077127,2023,3,7,14,25,55,
409684,شو وضع دير شىدرف,1698599482,2023,3,7,14,26,10,
409685,نابلس طولكرم سالكة ؟,5156549553,2023,3,7,14,26,14,
409686,دير شرف,1698599482,2023,3,7,14,26,14,
409687,دير شرف سالك,1018320076,2023,3,7,14,26,30,
409688,سيلة الظهر بإتجاه يتسهار سالك,5460641771,2023,3,7,14,27,5,
409689,,1312264512,2023,3,7,14,27,5,"يزيدك عافية يا رب 
في الجفتلك"
409690,الخارج من سيلة الظهر,5460641771,2023,3,7,14,27,11,
409691,اللي رايح عالسيله,6002398373,2023,3,7,14,27,41,
409692,صره مافي م,5522829875,2023,3,7,14,28,7,
409693,"يزيدك عافية يا رب 
في الجفتلك",946490964,2023,3,7,14,28,42,
409694,زعترة؟,564077127,2023,3,7,14,29,0,
409695,كيف طريق حواره,5522829875,2023,3,7,14,29,4,سالكة والي نازل من زعترة ع حوارة ازمة شوية
409696,سالكة والي نازل من زعترة ع حوارة ازمة شوية,1018320076,2023,3,7,14,29,29,
409697,شو الوضع من رام الله ل جفنا,5468965616,2023,3,7,14,30,13,سالك
409698,"يعطيكم العافية 
شو وضع حاجز بيت ايل",1687272782,2023,3,7,14,30,30,
