id,message,from_id,year,month,day,hour,minute,second,reply,Huara_barrier,category,status
409427,حواره للخارج من نابلس ,325418964,2023,3,7,13,50,2,سالك سالك,1,answered,1
409429,حوارة في عليها مستوطنين,5633332941,2023,3,7,13,50,18,لا مافب,1,answered,0
409431,كيف طريق من طوباس لرام الله,5661074759,2023,3,7,13,50,35,,0,question,-1
409432,سلام,5593129285,2023,3,7,13,50,37,,0,question,-1
409434,شو وضع المربعه ,1507939991,2023,3,7,13,50,39,في حاجز بس سالك,0,answered,1
409436,حوارة سالكة,5190660308,2023,3,7,13,50,57,سالكة حركة سير طبيعية,1,answered,1
409437,في ازمة عحاجز حوارة,5403676950,2023,3,7,13,50,58,,1,question,-1
409438,شباب كيف الوضع صرة ودير شرف,2122512266,2023,3,7,13,51,8,لهسه مناح,0,answered,1
409439,hollowredcircleحاجز حواره سالك حركه سير طبيعيه,1827882971,2023,3,7,13,51,13,,1,question,-1
409440,سالك صره,1827882971,2023,3,7,13,51,17,,0,question,-1
409441,شو وضع ديرشرف,5388366346,2023,3,7,13,51,22,جاوبتك,0,answered,0
409445,وضع دير شرف ,1248733370,2023,3,7,13,52,26,اقرا هلا جاوبت,0,answered,0
409447,شباب شو الوضع فاتحه طريق صرة ودير شرف ,5015281840,2023,3,7,13,52,54,اه سالكين,0,answered,1
409448,من دير شرف لجنين شو وضع الطريق,5115882250,2023,3,7,13,52,56,سالكه الطريق,0,answered,1
409450,شباب شو وضع اريحا,5267282649,2023,3,7,13,53,4,,0,question,-1
409453,يسلمو,5115882250,2023,3,7,13,53,24,,0,question,-1
409455,يا اخوان الي بازمة حواره في سيارة مستوطنين سكودا لون بني المستوطنين طالعين من شبابيكها وبتحركشو بالسيارت انتبهوraisedhand,2088721086,2023,3,7,13,53,34,كان في مازدا,1,answered,0
409459,شو وضع حواره شبباب ضروري,1887940597,2023,3,7,13,54,41,حركه سير قويه ماشيه,1,answered,1
